function_name,call_count,total_time_seconds,avg_time_seconds,median_time_seconds,min_time_seconds,max_time_seconds,std_dev_seconds
/usr/lib/python3.12/inspect.py:getframeinfo:1717,2023,1.623487331,0.000802515,0.000789357,0.000752077,0.005138964,0.000114800
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/regex/_regex_core.py:parse_sequence:546,260,1.609177729,0.006189145,0.002552620,0.000225816,0.807555491,0.050715605
/usr/lib/python3.12/pathlib.py:__len__:274,234977,1.591378353,0.000006772,0.000006632,0.000006162,0.000655065,0.000001726
/home/jiajli/apps/IRON/iron/common/utils.py:torch_to_numpy:37,630,1.500885204,0.002382357,0.000036158,0.000010720,0.035980865,0.007628919
/home/jiajli/apps/IRON/iron/operators/mha/design.py:softmax:461,8,1.471957271,0.183994659,0.184100093,0.182732555,0.185118602,0.000872781
/usr/lib/python3.12/pathlib.py:resolve:1255,2256,1.467137565,0.000650327,0.000633434,0.000605030,0.002504519,0.000103872
/usr/lib/python3.12/pathlib.py:__init__:378,160426,1.456233759,0.000009077,0.000008837,0.000007133,0.000123152,0.000001484
/home/jiajli/apps/IRON/iron/applications/llama_3.2_1b/src/block/gqa.py:forward:471,16,1.331210870,0.083200679,0.082129276,0.077364832,0.089530389,0.003686697
/home/jiajli/apps/IRON/iron/operators/gemv/op.py:set_up_runtime:134,145,1.326807131,0.009150394,0.002036979,0.000069811,0.255553555,0.022460950
/home/jiajli/apps/IRON/iron/common/compilation.py:get_work_list:630,516,1.273267956,0.002467574,0.001462281,0.000516914,0.012139707,0.002208793
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/helpers/taplib/tensortiler2d.py:__sizes_strides_for_step_tile_group:451,1860,1.259739137,0.000677279,0.000669817,0.000643873,0.001788320,0.000055583
/home/jiajli/apps/IRON/iron/operators/gemv/design.py:core_body:99,72,1.255778573,0.017441369,0.017426039,0.017012440,0.017957290,0.000224074
/home/jiajli/apps/IRON/iron/operators/mha/design.py:set_mha_rtps:771,1,1.204905229,1.204905229,1.204905229,1.204905229,1.204905229,0.000000000
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/iron/dataflow/objectfifo.py:resolve:703,4155,1.194901994,0.000287582,0.000019177,0.000018255,0.008741223,0.000679500
/home/jiajli/apps/IRON/iron/applications/llama_3.2_1b/src/utils.py:text_to_token_ids:155,1,1.164618810,1.164618810,1.164618810,1.164618810,1.164618810,0.000000000
/home/jiajli/apps/IRON/iron/applications/llama_3.2_1b/src/tokenizer.py:encode:60,1,1.160446106,1.160446106,1.160446106,1.160446106,1.160446106,0.000000000
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/tiktoken/core.py:encode:124,1,1.160391964,1.160391964,1.160391964,1.160391964,1.160391964,0.000000000
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/tiktoken/core.py:_special_token_regex:435,1,1.158642858,1.158642858,1.158642858,1.158642858,1.158642858,0.000000000
/home/jiajli/apps/IRON/iron/operators/mha/design.py:batched_matmul_qk:410,8,1.155938911,0.144492364,0.144702058,0.143484944,0.145160682,0.000655835
/home/jiajli/apps/IRON/iron/operators/elementwise_mul/design.py:my_eltwise_mul:116,4,1.151025955,0.287756489,0.283229420,0.278037316,0.306529799,0.013201270
/usr/lib/python3.12/pathlib.py:absolute:1228,8626,1.150401178,0.000133364,0.000114336,0.000109236,0.015234519,0.000165508
/usr/lib/python3.12/pathlib.py:_parse_path:405,38922,1.141985331,0.000029340,0.000028304,0.000022081,0.014959891,0.000075870
/home/jiajli/apps/mlir-air/my_install/mlir-aie/install/python/aie/iron/dataflow/objectfifo.py:resolve:302,1020,1.118267819,0.001096341,0.000667693,0.000637722,0.008726785,0.000991768
/usr/lib/python3.12/pathlib.py:__new__:1169,160426,1.117495821,0.000006966,0.000006793,0.000006332,0.000219724,0.000001268
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/regex/_main.py:_compile:682,2,1.082994370,0.541497185,0.541497185,0.002932486,1.080061884,0.761645502
/home/jiajli/apps/mlir-air/sandbox/lib/python3.12/site-packages/regex/_main.py:compile:363,1,1.080109444,1.080109444,1.080109444,1.080109444,1.080109444,0.000000000
/usr/lib/python3.12/pathlib.py:__fspath__:448,24891,1.038549655,0.000041724,0.000018845,0.000017674,0.001253612,0.000046048
/usr/lib/python3.12/pathlib.py:_format_parsed_parts:432,144353,1.016850794,0.000007044,0.000006883,0.000006413,0.000572969,0.000002183
<frozen posixpath>:realpath:433,2258,0.983628089,0.000435619,0.000424139,0.000404602,0.001999098,0.000074808
